id,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@4,5153340@期貨與選擇權@1@2,5154441@不動產概論@1@1,5151009@民法概要@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@4,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5154315@銀行管理@2@1,5152100@財務管理（一）@1@2,5152100@財務管理（一）@1@3,5153110@財務報表分析@1@1,5153300@金融市場與機構@1@2,5152101@財務管理（二）@2@2,5152101@財務管理（二）@2@3,5152102@財務管理@2@1,5153100@財務理論與政策@2@1,5154180@國際財務管理@2@1,5154180@國際財務管理@2@2,5154400@風險管理與保險@2@1
403510087,91,82,NaN,NaN,NaN,NaN,94,84,NaN,78,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510008,NaN,75,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510009,NaN,93,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510045,NaN,90,NaN,NaN,85,NaN,NaN,88,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510054,NaN,86,NaN,NaN,NaN,NaN,NaN,81,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510065,NaN,84,NaN,NaN,NaN,NaN,NaN,76,NaN,-1,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510090,NaN,70,NaN,NaN,NaN,NaN,NaN,75,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,-1,NaN,NaN
403510094,NaN,95,NaN,89,NaN,NaN,NaN,94,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403510098,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,81,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510102,NaN,81,NaN,NaN,NaN,NaN,NaN,75,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,-1,NaN,NaN
403510001,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,70,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510003,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510010,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510011,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,73,NaN,NaN,79,80,NaN,NaN,NaN,NaN,-1,NaN,-1
403510013,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510018,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,87,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510021,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510022,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510024,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,67,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510026,NaN,NaN,70,NaN,NaN,-1,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510027,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,93,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510028,NaN,NaN,79,NaN,84,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510029,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510030,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510031,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,90,-1,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
403510041,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510043,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510044,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,95,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510048,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510049,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510051,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,100,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510052,NaN,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510053,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510055,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510057,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510059,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,100,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510067,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,60,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510068,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510069,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510070,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,68,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510075,NaN,NaN,84,NaN,75,NaN,NaN,NaN,72,-1,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510085,NaN,NaN,44,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510092,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403510099,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510100,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510101,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510104,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510107,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510113,NaN,NaN,87,NaN,NaN,84,NaN,NaN,71,NaN,85,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,-1,NaN,-1,-1
